"latitude","longitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity_INLAND","ocean_proximity_ISLAND","ocean_proximity_NEAR BAY","ocean_proximity_NEAR OCEAN","median_house_value"
33.99,-118.46,41,885,285,562,268,3.1992,0,0,0,0,303800
33.95,-118.1,27,1666,365,995,354,4.5694,0,0,0,0,204300
38.95,-121.08,18,1931,380,1271,377,2.7463,1,0,0,0,156100
40.53,-122.41,28,1127,245,538,208,2.037,1,0,0,0,72000
34.12,-118.19,46,3387,820,2833,813,2.987,0,0,0,0,176900
36.98,-122.01,47,2403,517,1144,455,2.5954,0,0,0,1,229400
37.67,-120.98,33,1433,298,824,302,2.7621,1,0,0,0,109100
34.11,-117.25,30,2173,560,1509,486,1.4079,1,0,0,0,67700
38.68,-121.32,25,1252,207,587,217,3.5893,1,0,0,0,146400
37.94,-121.7,36,1710,320,861,300,2.8828,1,0,0,0,131100
34.11,-118.33,37,2330,434,846,457,8.2335,0,0,0,0,430200
34.23,-118.43,37,1737,369,1061,356,3.9615,0,0,0,0,173700
32.77,-117.06,18,2269,682,1329,581,1.7951,0,0,0,1,161800
33.84,-118.08,25,3696,953,2827,860,3.3438,0,0,0,0,153300
37.76,-122.41,52,351,81,308,75,2.6667,0,0,1,0,325000
33.9,-117.85,25,1548,256,811,263,5.2037,0,0,0,0,242200
32.57,-117.11,32,2723,586,1702,562,3.3371,0,0,0,1,140500
34.27,-118.77,7,3074,794,1816,654,2.7137,0,0,0,0,196400
33.9,-118.18,34,1248,320,1960,338,3.1012,0,0,0,0,140400
37.73,-122.46,52,2857,469,1431,496,5.2088,0,0,1,0,344200
38.44,-122.72,52,188,62,301,72,0.9437,0,0,0,0,129200
34.11,-118.28,52,2036,348,775,332,5.4122,0,0,0,0,397500
34.11,-117.45,7,6356,1244,4052,1164,2.9112,1,0,0,0,121700
40.86,-124.09,25,1322,387,794,379,1.1742,0,0,0,1,75000
33.99,-118.42,38,740,171,599,194,4.0893,0,0,0,0,248900
33.86,-118.19,35,1133,296,774,271,2.2381,0,0,0,0,137500
37.78,-122.2,45,1766,332,869,327,4.5893,0,0,1,0,163500
33.88,-118.07,16,4934,825,2668,810,5.748,0,0,0,0,284200
37.36,-121.99,33,2321,480,1230,451,4.9091,0,0,0,0,270300
33.97,-118.09,35,2664,541,2033,491,3.7326,0,0,0,0,164300
38.28,-122.3,31,1633,316,944,300,3.3977,0,0,1,0,158700
33.81,-116.5,26,5032,1229,3086,1183,2.5399,1,0,0,0,94800
33.9,-117.94,27,2029,242,711,254,9.7956,0,0,0,0,500001
34.19,-118.46,35,1491,295,779,309,6.1142,0,0,0,0,256300
37.5,-122.26,44,6983,1131,2818,1115,5.6271,0,0,0,1,374800
34.06,-117.13,4,3078,510,1341,486,4.9688,1,0,0,0,163200
37.99,-121.31,23,3135,707,1650,680,1.886,1,0,0,0,105300
36.84,-119.85,12,2272,304,840,305,8.9669,1,0,0,0,213900
32.61,-117.06,24,4369,1353,3123,1247,2.0571,0,0,0,1,152300
33.9,-118.32,35,3189,680,1882,651,3.6625,0,0,0,0,188000
37.58,-122.35,30,5039,1564,2129,1536,3.3469,0,0,0,1,345000
34.07,-117.64,38,2450,544,1823,536,2.837,1,0,0,0,111200
37.78,-122.46,52,3429,773,1584,696,3.7887,0,0,1,0,500001
33.64,-117.98,20,1851,495,792,363,3.8187,0,0,0,1,137500
33.74,-117.86,32,691,151,926,148,4.125,0,0,0,0,175900
37.96,-121.26,43,527,133,367,152,2.5,1,0,0,0,63600
37.86,-122.27,49,2052,435,924,414,2.5417,0,0,1,0,182700
36.62,-121.91,40,1292,271,504,230,2.475,0,0,0,0,258300
32.8,-117,33,1816,325,768,316,4.5662,0,0,0,0,150300
32.72,-117.11,25,1491,348,1183,316,1.9583,0,0,0,1,88600
36.63,-121.93,28,3983,852,1582,778,3.5147,0,0,0,1,313900
